TestNum,TESTNAME, FT LoLim,FT HiLim,Scale,Unit,PinName,Format,ForceValue,ForceUnit,,,TestNum,TESTNAME,QA1 LoLim,QA1 HiLim,Scale,Unit,PinName,Format,ForceValue,ForceUnit,,,TestNum,TESTNAME,QA2 LoLim,QA2 HiLim,Scale,Unit,PinName,Format,ForceValue,ForceUnit,,,TestNum,TESTNAME,QA3 LoLim,QA3 HiLim,Scale,Unit,PinName,Format,ForceValue,ForceUnit
1018,Cont_ISEN5,-0.71,-0.59,scaleNoScaling,V,,%1.3f,,,,,1018,Cont_ISEN5,-0.71,-0.59,scaleNoScaling,V,,%1.3f,,,,,1018,Cont_ISEN5,-0.77,-0.61,scaleNoScaling,V,,%1.3f,,,,,1018,Cont_ISEN5,-0.68,-0.48,scaleNoScaling,V,,%1.3f,,
1019,Cont_ISEN7,-0.71,-0.59,scaleNoScaling,V,,%1.3f,,,,,1019,Cont_ISEN7,-0.71,-0.59,scaleNoScaling,V,,%1.3f,,,,,1019,Cont_ISEN7,-0.77,-0.61,scaleNoScaling,V,,%1.3f,,,,,1019,Cont_ISEN7,-0.68,-0.48,scaleNoScaling,V,,%1.3f,,
1020,Cont_ISEN9,-0.71,-0.59,scaleNoScaling,V,,%1.3f,,,,,1020,Cont_ISEN9,-0.71,-0.59,scaleNoScaling,V,,%1.3f,,,,,1020,Cont_ISEN9,-0.77,-0.61,scaleNoScaling,V,,%1.3f,,,,,1020,Cont_ISEN9,-0.68,-0.48,scaleNoScaling,V,,%1.3f,,
1021,Cont_ISEN11,-0.71,-0.59,scaleNoScaling,V,,%1.3f,,,,,1021,Cont_ISEN11,-0.71,-0.59,scaleNoScaling,V,,%1.3f,,,,,1021,Cont_ISEN11,-0.77,-0.61,scaleNoScaling,V,,%1.3f,,,,,1021,Cont_ISEN11,-0.68,-0.48,scaleNoScaling,V,,%1.3f,,
1022,Cont_ISEN13,-0.71,-0.59,scaleNoScaling,V,,%1.3f,,,,,1022,Cont_ISEN13,-0.71,-0.59,scaleNoScaling,V,,%1.3f,,,,,1022,Cont_ISEN13,-0.77,-0.61,scaleNoScaling,V,,%1.3f,,,,,1022,Cont_ISEN13,-0.68,-0.48,scaleNoScaling,V,,%1.3f,,
1023,Cont_ISEN15,-0.71,-0.59,scaleNoScaling,V,,%1.3f,,,,,1023,Cont_ISEN15,-0.71,-0.59,scaleNoScaling,V,,%1.3f,,,,,1023,Cont_ISEN15,-0.77,-0.61,scaleNoScaling,V,,%1.3f,,,,,1023,Cont_ISEN15,-0.68,-0.48,scaleNoScaling,V,,%1.3f,,
1024,Cont_BVREF,-0.71,-0.59,scaleNoScaling,V,,%1.3f,,,,,1024,Cont_BVREF,-0.71,-0.59,scaleNoScaling,V,,%1.3f,,,,,1024,Cont_BVREF,-0.77,-0.61,scaleNoScaling,V,,%1.3f,,,,,1024,Cont_BVREF,-0.68,-0.48,scaleNoScaling,V,,%1.3f,,
1025,Cont_MP_FAULT1,-1,-0.3,scaleNoScaling,V,,%1.3f,,,,,1025,Cont_MP_FAULT1,-1,-0.3,scaleNoScaling,V,,%1.3f,,,,,1025,Cont_MP_FAULT1,-1,-0.3,scaleNoScaling,V,,%1.3f,,,,,1025,Cont_MP_FAULT1,-1,-0.3,scaleNoScaling,V,,%1.3f,,
1026,Cont_TSEN_1,-0.85,-0.75,scaleNoScaling,V,,%1.3f,,,,,1026,Cont_TSEN_1,-0.85,-0.75,scaleNoScaling,V,,%1.3f,,,,,1026,Cont_TSEN_1,-0.85,-0.75,scaleNoScaling,V,,%1.3f,,,,,1026,Cont_TSEN_1,-0.85,-0.75,scaleNoScaling,V,,%1.3f,,
1027,Cont_PSYSP_VSYS_IINSEN,-1.48,-1.38,scaleNoScaling,V,,%1.3f,,,,,1027,Cont_PSYSP_VSYS_IINSEN,-1.48,-1.38,scaleNoScaling,V,,%1.3f,,,,,1027,Cont_PSYSP_VSYS_IINSEN,-1.48,-1.38,scaleNoScaling,V,,%1.3f,,,,,1027,Cont_PSYSP_VSYS_IINSEN,-1.48,-1.38,scaleNoScaling,V,,%1.3f,,
1028,Cont_PSYSP,-1.48,-1.38,scaleNoScaling,V,,%1.3f,,,,,1028,Cont_PSYSP,-1.48,-1.38,scaleNoScaling,V,,%1.3f,,,,,1028,Cont_PSYSP,-1.48,-1.38,scaleNoScaling,V,,%1.3f,,,,,1028,Cont_PSYSP,-1.48,-1.38,scaleNoScaling,V,,%1.3f,,
1029,Cont_PSYSP_VSYS_IINSEN_16V,-2,-0.9,scaleNoScaling,V,,%1.3f,,,,,1029,Cont_PSYSP_VSYS_IINSEN_16V,-2,-0.9,scaleNoScaling,V,,%1.3f,,,,,1029,Cont_PSYSP_VSYS_IINSEN_16V,-2,-0.9,scaleNoScaling,V,,%1.3f,,,,,1029,Cont_PSYSP_VSYS_IINSEN_16V,-2,-0.9,scaleNoScaling,V,,%1.3f,,
1030,Cont_VDDIO,-1,-0.3,scaleNoScaling,V,,%1.3f,,,,,1030,Cont_VDDIO,-0.75,-0.55,scaleNoScaling,V,,%1.3f,,,,,1030,Cont_VDDIO,-0.9,-0.7,scaleNoScaling,V,,%1.3f,,,,,1030,Cont_VDDIO,-0.55,-0.35,scaleNoScaling,V,,%1.3f,,
1031,Cont_PWM16,-0.72,-0.6,scaleNoScaling,V,,%1.3f,,,,,1031,Cont_PWM16,-0.72,-0.6,scaleNoScaling,V,,%1.3f,,,,,1031,Cont_PWM16,-0.77,-0.6,scaleNoScaling,V,,%1.3f,,,,,1031,Cont_PWM16,-0.66,-0.49,scaleNoScaling,V,,%1.3f,,
1032,Cont_SVD,-1,-0.3,scaleNoScaling,V,,%1.3f,,,,,1032,Cont_SVD,-1,-0.3,scaleNoScaling,V,,%1.3f,,,,,1032,Cont_SVD,-1,-0.3,scaleNoScaling,V,,%1.3f,,,,,1032,Cont_SVD,-1,-0.2,scaleNoScaling,V,,%1.3f,,
1033,Cont_SVTO,-1,-0.3,scaleNoScaling,V,,%1.3f,,,,,1033,Cont_SVTO,-1,-0.3,scaleNoScaling,V,,%1.3f,,,,,1033,Cont_SVTO,-1,-0.3,scaleNoScaling,V,,%1.3f,,,,,1033,Cont_SVTO,-1,-0.2,scaleNoScaling,V,,%1.3f,,
1034,Cont_OCPL,-1,-0.3,scaleNoScaling,V,,%1.3f,,,,,1034,Cont_OCPL,-1,-0.3,scaleNoScaling,V,,%1.3f,,,,,1034,Cont_OCPL,-1,-0.3,scaleNoScaling,V,,%1.3f,,,,,1034,Cont_OCPL,-1,-0.3,scaleNoScaling,V,,%1.3f,,
1035,Cont_TSEN_2_VAUX_GPIO,-1,-0.3,scaleNoScaling,V,,%1.3f,,,,,1035,Cont_TSEN_2_VAUX_GPIO,-1,-0.3,scaleNoScaling,V,,%1.3f,,,,,1035,Cont_TSEN_2_VAUX_GPIO,-1,-0.3,scaleNoScaling,V,,%1.3f,,,,,1035,Cont_TSEN_2_VAUX_GPIO,-1,-0.3,scaleNoScaling,V,,%1.3f,,
1036,Cont_IINSEN,-2,-0.9,scaleNoScaling,V,,%1.3f,,,,,1036,Cont_IINSEN,-2,-0.9,scaleNoScaling,V,,%1.3f,,,,,1036,Cont_IINSEN,-2,-0.9,scaleNoScaling,V,,%1.3f,,,,,1036,Cont_IINSEN,-2,-0.9,scaleNoScaling,V,,%1.3f,,
1037,Cont_PWM13,-0.72,-0.6,scaleNoScaling,V,,%1.3f,,,,,1037,Cont_PWM13,-0.72,-0.6,scaleNoScaling,V,,%1.3f,,,,,1037,Cont_PWM13,-0.77,-0.6,scaleNoScaling,V,,%1.3f,,,,,1037,Cont_PWM13,-0.66,-0.49,scaleNoScaling,V,,%1.3f,,
1038,Cont_PWM11,-0.72,-0.6,scaleNoScaling,V,,%1.3f,,,,,1038,Cont_PWM11,-0.72,-0.6,scaleNoScaling,V,,%1.3f,,,,,1038,Cont_PWM11,-0.77,-0.6,scaleNoScaling,V,,%1.3f,,,,,1038,Cont_PWM11,-0.66,-0.49,scaleNoScaling,V,,%1.3f,,
1039,Cont_PWM9,-0.72,-0.6,scaleNoScaling,V,,%1.3f,,,,,1039,Cont_PWM9,-0.72,-0.6,scaleNoScaling,V,,%1.3f,,,,,1039,Cont_PWM9,-0.77,-0.6,scaleNoScaling,V,,%1.3f,,,,,1039,Cont_PWM9,-0.66,-0.49,scaleNoScaling,V,,%1.3f,,
1040,Cont_PWM7,-0.72,-0.6,scaleNoScaling,V,,%1.3f,,,,,1040,Cont_PWM7,-0.72,-0.6,scaleNoScaling,V,,%1.3f,,,,,1040,Cont_PWM7,-0.77,-0.6,scaleNoScaling,V,,%1.3f,,,,,1040,Cont_PWM7,-0.66,-0.49,scaleNoScaling,V,,%1.3f,,
1041,Cont_PWM5,-0.72,-0.6,scaleNoScaling,V,,%1.3f,,,,,1041,Cont_PWM5,-0.72,-0.6,scaleNoScaling,V,,%1.3f,,,,,1041,Cont_PWM5,-0.77,-0.6,scaleNoScaling,V,,%1.3f,,,,,1041,Cont_PWM5,-0.66,-0.49,scaleNoScaling,V,,%1.3f,,
1042,Cont_PWM3,-0.72,-0.6,scaleNoScaling,V,,%1.3f,,,,,1042,Cont_PWM3,-0.72,-0.6,scaleNoScaling,V,,%1.3f,,,,,1042,Cont_PWM3,-0.77,-0.6,scaleNoScaling,V,,%1.3f,,,,,1042,Cont_PWM3,-0.66,-0.49,scaleNoScaling,V,,%1.3f,,
1043,Cont_PWM1,-0.72,-0.6,scaleNoScaling,V,,%1.3f,,,,,1043,Cont_PWM1,-0.72,-0.6,scaleNoScaling,V,,%1.3f,,,,,1043,Cont_PWM1,-0.77,-0.6,scaleNoScaling,V,,%1.3f,,,,,1043,Cont_PWM1,-0.66,-0.49,scaleNoScaling,V,,%1.3f,,
1044,Cont_SCL,-0.75,-0.65,scaleNoScaling,V,,%1.3f,,,,,1044,Cont_SCL,-0.75,-0.65,scaleNoScaling,V,,%1.3f,,,,,1044,Cont_SCL,-0.82,-0.62,scaleNoScaling,V,,%1.3f,,,,,1044,Cont_SCL,-0.68,-0.48,scaleNoScaling,V,,%1.3f,,
1045,Cont_AVRRDY,-0.82,-0.76,scaleNoScaling,V,,%1.3f,,,,,1045,Cont_AVRRDY,-0.82,-0.76,scaleNoScaling,V,,%1.3f,,,,,1045,Cont_AVRRDY,-0.93,-0.83,scaleNoScaling,V,,%1.3f,,,,,1045,Cont_AVRRDY,-0.75,-0.55,scaleNoScaling,V,,%1.3f,,
1046,Cont_IMON_L2,-0.83,-0.5,scaleNoScaling,V,,%1.3f,,,,,1046,Cont_IMON_L2,-0.76,-0.56,scaleNoScaling,V,,%1.3f,,,,,1046,Cont_IMON_L2,-0.8,-0.6,scaleNoScaling,V,,%1.3f,,,,,1046,Cont_IMON_L2,-0.68,-0.48,scaleNoScaling,V,,%1.3f,,
1047,Cont_VRHOTN,-1,-0.3,scaleNoScaling,V,,%1.3f,,,,,1047,Cont_VRHOTN,-1,-0.3,scaleNoScaling,V,,%1.3f,,,,,1047,Cont_VRHOTN,-1,-0.3,scaleNoScaling,V,,%1.3f,,,,,1047,Cont_VRHOTN,-1,-0.3,scaleNoScaling,V,,%1.3f,,
1048,Cont_MP_BVRRDY,-0.82,-0.76,scaleNoScaling,V,,%1.3f,,,,,1048,Cont_MP_BVRRDY,-0.82,-0.76,scaleNoScaling,V,,%1.3f,,,,,1048,Cont_MP_BVRRDY,-0.93,-0.83,scaleNoScaling,V,,%1.3f,,,,,1048,Cont_MP_BVRRDY,-0.75,-0.55,scaleNoScaling,V,,%1.3f,,
1049,Cont_VDIO,-0.82,-0.76,scaleNoScaling,V,,%1.3f,,,,,1049,Cont_VDIO,-0.82,-0.76,scaleNoScaling,V,,%1.3f,,,,,1049,Cont_VDIO,-0.82,-0.76,scaleNoScaling,V,,%1.3f,,,,,1049,Cont_VDIO,-0.82,-0.76,scaleNoScaling,V,,%1.3f,,
1050,Cont_MP_IMON,-0.82,-0.76,scaleNoScaling,V,,%1.3f,,,,,1050,Cont_MP_IMON,-0.82,-0.76,scaleNoScaling,V,,%1.3f,,,,,1050,Cont_MP_IMON,-0.82,-0.76,scaleNoScaling,V,,%1.3f,,,,,1050,Cont_MP_IMON,-0.82,-0.76,scaleNoScaling,V,,%1.3f,,
1051,Cont_AVREF,-0.71,-0.59,scaleNoScaling,V,,%1.3f,,,,,1051,Cont_AVREF,-0.71,-0.59,scaleNoScaling,V,,%1.3f,,,,,1051,Cont_AVREF,-0.76,-0.61,scaleNoScaling,V,,%1.3f,,,,,1051,Cont_AVREF,-0.68,-0.48,scaleNoScaling,V,,%1.3f,,
1052,Cont_ISEN2,-0.71,-0.59,scaleNoScaling,V,,%1.3f,,,,,1052,Cont_ISEN2,-0.71,-0.59,scaleNoScaling,V,,%1.3f,,,,,1052,Cont_ISEN2,-0.76,-0.61,scaleNoScaling,V,,%1.3f,,,,,1052,Cont_ISEN2,-0.68,-0.48,scaleNoScaling,V,,%1.3f,,
1053,Cont_ISEN4,-0.71,-0.59,scaleNoScaling,V,,%1.3f,,,,,1053,Cont_ISEN4,-0.71,-0.59,scaleNoScaling,V,,%1.3f,,,,,1053,Cont_ISEN4,-0.76,-0.61,scaleNoScaling,V,,%1.3f,,,,,1053,Cont_ISEN4,-0.68,-0.48,scaleNoScaling,V,,%1.3f,,
1054,Cont_ISEN6,-0.71,-0.59,scaleNoScaling,V,,%1.3f,,,,,1054,Cont_ISEN6,-0.71,-0.59,scaleNoScaling,V,,%1.3f,,,,,1054,Cont_ISEN6,-0.76,-0.61,scaleNoScaling,V,,%1.3f,,,,,1054,Cont_ISEN6,-0.68,-0.48,scaleNoScaling,V,,%1.3f,,
1055,Cont_ISEN8,-0.71,-0.59,scaleNoScaling,V,,%1.3f,,,,,1055,Cont_ISEN8,-0.71,-0.59,scaleNoScaling,V,,%1.3f,,,,,1055,Cont_ISEN8,-0.76,-0.61,scaleNoScaling,V,,%1.3f,,,,,1055,Cont_ISEN8,-0.68,-0.48,scaleNoScaling,V,,%1.3f,,
1056,Cont_ISEN10,-0.71,-0.59,scaleNoScaling,V,,%1.3f,,,,,1056,Cont_ISEN10,-0.71,-0.59,scaleNoScaling,V,,%1.3f,,,,,1056,Cont_ISEN10,-0.76,-0.61,scaleNoScaling,V,,%1.3f,,,,,1056,Cont_ISEN10,-0.68,-0.48,scaleNoScaling,V,,%1.3f,,
1057,Cont_ISEN12,-0.71,-0.59,scaleNoScaling,V,,%1.3f,,,,,1057,Cont_ISEN12,-0.71,-0.59,scaleNoScaling,V,,%1.3f,,,,,1057,Cont_ISEN12,-0.76,-0.61,scaleNoScaling,V,,%1.3f,,,,,1057,Cont_ISEN12,-0.68,-0.48,scaleNoScaling,V,,%1.3f,,
1058,Cont_ISEN14,-0.71,-0.59,scaleNoScaling,V,,%1.3f,,,,,1058,Cont_ISEN14,-0.71,-0.59,scaleNoScaling,V,,%1.3f,,,,,1058,Cont_ISEN14,-0.76,-0.61,scaleNoScaling,V,,%1.3f,,,,,1058,Cont_ISEN14,-0.68,-0.48,scaleNoScaling,V,,%1.3f,,
1059,Cont_ISEN16,-0.71,-0.59,scaleNoScaling,V,,%1.3f,,,,,1059,Cont_ISEN16,-0.71,-0.59,scaleNoScaling,V,,%1.3f,,,,,1059,Cont_ISEN16,-0.76,-0.61,scaleNoScaling,V,,%1.3f,,,,,1059,Cont_ISEN16,-0.68,-0.48,scaleNoScaling,V,,%1.3f,,
1060,Cont_BVSEN,-0.71,-0.59,scaleNoScaling,V,,%1.3f,,,,,1060,Cont_BVSEN,-0.71,-0.59,scaleNoScaling,V,,%1.3f,,,,,1060,Cont_BVSEN,-0.76,-0.61,scaleNoScaling,V,,%1.3f,,,,,1060,Cont_BVSEN,-0.68,-0.48,scaleNoScaling,V,,%1.3f,,
1061,Cont_XADDR1,-1,-0.3,scaleNoScaling,V,,%1.3f,,,,,1061,Cont_XADDR1,-1,-0.3,scaleNoScaling,V,,%1.3f,,,,,1061,Cont_XADDR1,-1,-0.3,scaleNoScaling,V,,%1.3f,,,,,1061,Cont_XADDR1,-1,-0.3,scaleNoScaling,V,,%1.3f,,
1062,Cont_TSEN2_ISYS_VAUX,-0.71,-0.59,scaleNoScaling,V,,%1.3f,,,,,1062,Cont_TSEN2_ISYS_VAUX,-0.71,-0.59,scaleNoScaling,V,,%1.3f,,,,,1062,Cont_TSEN2_ISYS_VAUX,-0.71,-0.59,scaleNoScaling,V,,%1.3f,,,,,1062,Cont_TSEN2_ISYS_VAUX,-0.71,-0.59,scaleNoScaling,V,,%1.3f,,
1063,Cont_TSEN2_VAUX,-1,-0.3,scaleNoScaling,V,,%1.3f,,,,,1063,Cont_TSEN2_VAUX,-1,-0.3,scaleNoScaling,V,,%1.3f,,,,,1063,Cont_TSEN2_VAUX,-1,-0.3,scaleNoScaling,V,,%1.3f,,,,,1063,Cont_TSEN2_VAUX,-1,-0.3,scaleNoScaling,V,,%1.3f,,
1064,Cont_PSYSN_VINSEN,-1.48,-1.38,scaleNoScaling,V,,%1.3f,,,,,1064,Cont_PSYSN_VINSEN,-1.48,-1.38,scaleNoScaling,V,,%1.3f,,,,,1064,Cont_PSYSN_VINSEN,-1.48,-1.38,scaleNoScaling,V,,%1.3f,,,,,1064,Cont_PSYSN_VINSEN,-1.48,-1.38,scaleNoScaling,V,,%1.3f,,
1065,Cont_PSYSN,-1.48,-1.38,scaleNoScaling,V,,%1.3f,,,,,1065,Cont_PSYSN,-1.48,-1.38,scaleNoScaling,V,,%1.3f,,,,,1065,Cont_PSYSN,-1.48,-1.38,scaleNoScaling,V,,%1.3f,,,,,1065,Cont_PSYSN,-1.48,-1.38,scaleNoScaling,V,,%1.3f,,
1066,Cont_PWM15,-0.72,-0.6,scaleNoScaling,V,,%1.3f,,,,,1066,Cont_PWM15,-0.72,-0.6,scaleNoScaling,V,,%1.3f,,,,,1066,Cont_PWM15,-0.77,-0.6,scaleNoScaling,V,,%1.3f,,,,,1066,Cont_PWM15,-0.66,-0.49,scaleNoScaling,V,,%1.3f,,
1067,Cont_PSYSN_VINSEN_16V,-2,-0.9,scaleNoScaling,V,,%1.3f,,,,,1067,Cont_PSYSN_VINSEN_16V,-2,-0.9,scaleNoScaling,V,,%1.3f,,,,,1067,Cont_PSYSN_VINSEN_16V,-2,-0.9,scaleNoScaling,V,,%1.3f,,,,,1067,Cont_PSYSN_VINSEN_16V,-2,-0.9,scaleNoScaling,V,,%1.3f,,
1068,Cont_RSTL,-1,-0.3,scaleNoScaling,V,,%1.3f,,,,,1068,Cont_RSTL,-1,-0.3,scaleNoScaling,V,,%1.3f,,,,,1068,Cont_RSTL,-1,-0.3,scaleNoScaling,V,,%1.3f,,,,,1068,Cont_RSTL,-1,-0.3,scaleNoScaling,V,,%1.3f,,
